Source,Target,Weight,Type
K86.9,pancreatic_cancer,492,Directed
pancreatic_cancer,I26.9,368,Directed
D70.1,E87.6,192,Directed
D64.9,E87.1,184,Directed
D70.1,E86.0,290,Directed
pancreatic_cancer,E86.0,1828,Directed
pancreatic_cancer,K76.8,154,Directed
pancreatic_cancer,K59.0,829,Directed
C78.7,K59.0,187,Directed
D64.9,D72.8,207,Directed
pancreatic_cancer,E87.1,520,Directed
pancreatic_cancer,E87.6,1035,Directed
G89.3,D64.8,176,Directed
K83.1,pancreatic_cancer,447,Directed
C78.7,E87.6,184,Directed
K59.0,E87.6,183,Directed
K59.0,E86.0,255,Directed
K59.0,D64.9,217,Directed
pancreatic_cancer,C78.7,1197,Directed
pancreatic_cancer,K76.9,226,Directed
pancreatic_cancer,E83.4,729,Directed
pancreatic_cancer,I82.4,347,Directed
D70.1,E83.4,153,Directed
G89.3,E86.0,322,Directed
D70.1,D64.8,215,Directed
pancreatic_cancer,E80.6,220,Directed
pancreatic_cancer,G89.3,1301,Directed
pancreatic_cancer,D69.6,594,Directed
E87.6,E83.4,206,Directed
E86.0,D72.8,158,Directed
D64.9,D69.6,195,Directed
D64.9,D50.9,264,Directed
E87.6,D72.8,144,Directed
C78.7,G89.3,316,Directed
E11.9,E11.6,182,Directed
pancreatic_cancer,D49.0,208,Directed
pancreatic_cancer,C80.1,280,Directed
C78.7,E86.0,374,Directed
K86.9,E86.0,160,Directed
pancreatic_cancer,I95.9,382,Directed
pancreatic_cancer,B37.0,181,Directed
N30.0,pancreatic_cancer,113,Directed
pancreatic_cancer,K52.1,161,Directed
pancreatic_cancer,D70.9,377,Directed
pancreatic_cancer,E88.0,129,Directed
D70.1,G62.9,103,Directed
M25.5,G89.2,193,Directed
M25.5,M79.6,146,Directed
E83.4,G62.9,108,Directed
E66.9,pancreatic_cancer,136,Directed
C78.7,G62.0,134,Directed
E83.4,D64.8,140,Directed
D64.9,C78.7,192,Directed
D64.9,D64.8,247,Directed
K83.1,E87.1,115,Directed
E87.6,A41.9,107,Directed
E11.6,E86.0,117,Directed
K83.1,G89.3,153,Directed
G89.2,K59.0,119,Directed
I10,I95.9,138,Directed
I10,C79.9,120,Directed
G89.2,D64.9,144,Directed
K21.9,E87.6,156,Directed
I10,pancreatic_cancer,954,Directed
E78.5,D70.1,123,Directed
K21.9,C78.7,148,Directed
I48.9,pancreatic_cancer,146,Directed
F32.9,pancreatic_cancer,138,Directed
F41.9,pancreatic_cancer,212,Directed
K86.9,C78.7,127,Directed
M85.8,pancreatic_cancer,110,Directed
D70.1,D72.8,134,Directed
E11.9,C78.7,180,Directed
pancreatic_cancer,C78.6,169,Directed
K76.9,C78.7,132,Directed
pancreatic_cancer,D70.1,1086,Directed
I25.1,pancreatic_cancer,270,Directed
N40.1,pancreatic_cancer,119,Directed
D50.9,D50.8,116,Directed
E83.4,D72.8,127,Directed
D50.9,pancreatic_cancer,165,Directed
N39.0,D64.9,109,Directed
D64.9,I95.9,121,Directed
E11.6,pancreatic_cancer,247,Directed
E87.6,D69.6,130,Directed
D64.9,G89.3,221,Directed
D64.9,pancreatic_cancer,429,Directed
D72.8,pancreatic_cancer,187,Directed
E87.6,I95.9,109,Directed
D64.9,G62.9,153,Directed
I10,C80.1,108,Directed
E78.5,G89.3,143,Directed
K21.9,G89.3,159,Directed
G47.0,G89.3,103,Directed
E78.5,K59.0,155,Directed
I10,K83.1,168,Directed
E78.5,E83.4,105,Directed
E78.5,D64.9,205,Directed
I48.0,pancreatic_cancer,121,Directed
M81.0,pancreatic_cancer,133,Directed
F41.9,G89.3,129,Directed
F41.9,E87.6,117,Directed
D70.1,D50.9,112,Directed
M79.6,G89.2,116,Directed
M25.5,E86.0,161,Directed
pancreatic_cancer,C79.9,284,Directed
pancreatic_cancer,G62.0,492,Directed
pancreatic_cancer,D68.9,142,Directed
pancreatic_cancer,C78.0,317,Directed
E11.9,pancreatic_cancer,553,Directed
pancreatic_cancer,D3A.8,113,Directed
E11.9,D64.9,239,Directed
E11.6,D64.9,114,Directed
G89.3,D69.6,133,Directed
E87.6,E87.1,119,Directed
K83.1,A41.9,142,Directed
C78.7,E83.4,150,Directed
C78.7,E87.1,135,Directed
I10,C78.7,293,Directed
E55.9,pancreatic_cancer,217,Directed
I10,G89.3,296,Directed
E78.5,E87.1,109,Directed
E03.9,pancreatic_cancer,244,Directed
N18.3,pancreatic_cancer,117,Directed
I10,I82.4,107,Directed
I10,K86.9,115,Directed
I10,K59.0,226,Directed
I10,D70.1,221,Directed
K59.0,D64.8,128,Directed
M54.2,pancreatic_cancer,121,Directed
K86.9,D64.9,139,Directed
F41.9,D64.9,117,Directed
K86.9,E87.6,121,Directed
E11.9,G89.3,174,Directed
E11.9,E87.1,104,Directed
pancreatic_cancer,D69.5,257,Directed
pancreatic_cancer,C7A.8,136,Directed
E11.9,K59.0,150,Directed
E78.2,D64.9,115,Directed
M25.5,K21.9,158,Directed
D70.1,D69.6,154,Directed
M79.6,E86.0,115,Directed
D64.9,D50.8,191,Directed
K83.1,E83.4,114,Directed
M17.1,pancreatic_cancer,106,Directed
E86.0,A41.9,124,Directed
N40.0,pancreatic_cancer,125,Directed
C78.7,D70.1,207,Directed
K83.8,pancreatic_cancer,154,Directed
C78.7,D69.6,140,Directed
E83.4,D50.9,119,Directed
N17.9,pancreatic_cancer,190,Directed
E83.4,E87.1,109,Directed
E78.5,E87.6,169,Directed
G89.2,E87.6,128,Directed
I10,E83.4,215,Directed
K21.9,E86.0,217,Directed
K59.0,F41.9,105,Directed
G62.9,pancreatic_cancer,143,Directed
M54.9,pancreatic_cancer,133,Directed
M79.6,pancreatic_cancer,263,Directed
M25.5,E11.9,127,Directed
E78.2,pancreatic_cancer,285,Directed
N18.9,pancreatic_cancer,111,Directed
pancreatic_cancer,C77.2,174,Directed
E11.9,D70.1,137,Directed
E11.9,D50.9,129,Directed
E86.0,I95.9,110,Directed
E86.0,G62.0,134,Directed
K83.1,D64.9,199,Directed
E87.6,D50.9,112,Directed
D64.9,G62.0,125,Directed
G47.3,pancreatic_cancer,185,Directed
K83.1,D70.1,104,Directed
K83.1,K59.0,111,Directed
G89.3,D72.8,112,Directed
E87.6,G62.0,109,Directed
E11.6,E87.6,103,Directed
E83.4,D69.6,138,Directed
D50.9,E86.0,138,Directed
J44.9,pancreatic_cancer,155,Directed
K59.0,E83.4,128,Directed
E78.5,N17.9,106,Directed
G89.2,K21.9,140,Directed
E78.5,C78.7,160,Directed
G89.2,G89.3,113,Directed
G89.2,E86.0,158,Directed
G47.0,E86.0,129,Directed
G89.2,pancreatic_cancer,352,Directed
F41.9,E86.0,145,Directed
K86.9,G89.3,142,Directed
M25.5,K59.0,130,Directed
M79.6,D64.9,126,Directed
M25.5,E87.6,156,Directed
M25.5,pancreatic_cancer,416,Directed
M25.5,N39.0,118,Directed
M25.5,E87.1,109,Directed
pancreatic_cancer,D70.2,175,Directed
pancreatic_cancer,D63.0,155,Directed
pancreatic_cancer,D64.8,887,Directed
E11.9,D72.8,121,Directed
pancreatic_cancer,A41.9,418,Directed
E11.9,E86.0,263,Directed
J18.9,pancreatic_cancer,122,Directed
pancreatic_cancer,I81,126,Directed
E83.4,G62.0,104,Directed
C78.7,D64.8,183,Directed
C61,pancreatic_cancer,113,Directed
K83.1,E86.0,200,Directed
K83.1,C78.7,107,Directed
N39.0,pancreatic_cancer,191,Directed
F17.2,pancreatic_cancer,158,Directed
I10,D64.8,206,Directed
E78.5,E86.0,232,Directed
E78.5,pancreatic_cancer,595,Directed
K21.9,pancreatic_cancer,482,Directed
K21.9,D72.8,104,Directed
J06.9,pancreatic_cancer,113,Directed
M25.5,D64.9,168,Directed
M25.5,F41.9,114,Directed
M25.5,G89.3,127,Directed
M79.6,E87.6,109,Directed
M19.9,pancreatic_cancer,140,Directed
E11.9,E87.6,181,Directed
pancreatic_cancer,K86.8,132,Directed
pancreatic_cancer,D61.8,260,Directed
E11.9,D64.8,117,Directed
M54.5,pancreatic_cancer,175,Directed
pancreatic_cancer,K12.3,230,Directed
pancreatic_cancer,K90.9,153,Directed
E11.9,E83.4,154,Directed
E83.4,I95.9,107,Directed
G89.3,G62.0,126,Directed
D64.9,A41.9,135,Directed
E87.6,D64.8,156,Directed
N39.0,E86.0,103,Directed
K83.1,E87.6,187,Directed
I10,E87.1,170,Directed
I10,G62.0,109,Directed
I10,E86.0,423,Directed
K86.2,pancreatic_cancer,174,Directed
K21.9,K59.0,152,Directed
I10,A41.9,168,Directed
I10,E11.6,153,Directed
I10,E87.6,323,Directed
K21.9,D64.9,187,Directed
G47.0,pancreatic_cancer,143,Directed
K59.0,D72.8,126,Directed
K59.0,E87.1,120,Directed
K59.0,D69.6,112,Directed
E87.1,E86.0,247,Undirected
D70.1,D64.9,381,Undirected
E86.0,E83.4,409,Undirected
G89.3,D70.1,354,Undirected
G89.3,E83.4,272,Undirected
E86.0,D69.6,288,Undirected
E83.4,D64.9,429,Undirected
K59.0,D70.1,241,Undirected
E86.0,D64.8,413,Undirected
E87.6,E86.0,545,Undirected
K59.0,G89.3,366,Undirected
G62.9,E86.0,223,Undirected
E86.0,D64.9,592,Undirected
N17.9,D64.9,229,Undirected
E87.6,D64.9,518,Undirected
G89.3,E87.6,401,Undirected
