Source,Target,Weight,Type
sarcoma-retroperitoneum,C78.0,38,Directed
sarcoma-retroperitoneum,G89.3,58,Directed
C49.9,C78.0,13,Directed
N30.0,sarcoma-retroperitoneum,9,Directed
J18.9,sarcoma-retroperitoneum,12,Directed
M54.1,sarcoma-retroperitoneum,11,Directed
D70.1,sarcoma-retroperitoneum,14,Directed
K52.9,sarcoma-retroperitoneum,8,Directed
K21.9,G89.3,10,Directed
D64.9,G89.3,14,Directed
G89.3,D70.9,8,Directed
C16.9,sarcoma-retroperitoneum,10,Directed
C79.9,G89.3,9,Directed
M25.5,sarcoma-retroperitoneum,41,Directed
E78.2,N17.9,9,Directed
M79.8,sarcoma-retroperitoneum,17,Directed
I25.1,sarcoma-retroperitoneum,11,Directed
K21.9,C49.9,11,Directed
I10,G89.3,21,Directed
I10,C49.9,26,Directed
G89.3,N17.9,12,Directed
E86.0,sarcoma-retroperitoneum,24,Directed
G89.3,D64.8,15,Directed
N39.0,N30.0,11,Directed
G89.3,E83.4,11,Directed
K59.0,E86.0,12,Directed
L03.1,sarcoma-retroperitoneum,8,Directed
D70.1,G89.3,8,Directed
M25.5,D50.8,10,Directed
D50.9,sarcoma-retroperitoneum,23,Directed
N17.9,sarcoma-retroperitoneum,8,Directed
C79.5,sarcoma-retroperitoneum,9,Directed
D64.9,D50.8,19,Directed
D64.9,C78.0,11,Directed
D72.8,C49.9,10,Directed
C34.9,sarcoma-retroperitoneum,8,Directed
K59.0,sarcoma-retroperitoneum,17,Directed
D70.9,sarcoma-retroperitoneum,9,Directed
D50.0,G89.3,8,Directed
D70.1,J90,8,Directed
E66.9,sarcoma-retroperitoneum,8,Directed
N17.9,E86.0,10,Directed
K21.9,sarcoma-retroperitoneum,31,Directed
J44.9,sarcoma-retroperitoneum,9,Directed
A41.9,sarcoma-retroperitoneum,12,Directed
sarcoma-retroperitoneum,C79.8,17,Directed
F17.2,sarcoma-retroperitoneum,15,Directed
C79.5,D64.8,8,Directed
C80.1,sarcoma-retroperitoneum,18,Directed
M79.6,C49.9,14,Directed
M54.9,sarcoma-retroperitoneum,9,Directed
C78.7,sarcoma-retroperitoneum,12,Directed
E83.4,sarcoma-retroperitoneum,9,Directed
E66.0,sarcoma-retroperitoneum,8,Directed
I82.4,sarcoma-retroperitoneum,10,Directed
E78.5,sarcoma-retroperitoneum,23,Directed
G89.2,sarcoma-retroperitoneum,20,Directed
M54.2,sarcoma-retroperitoneum,8,Directed
G62.9,sarcoma-retroperitoneum,12,Directed
N28.8,sarcoma-retroperitoneum,8,Directed
E87.6,C49.9,8,Directed
N39.0,sarcoma-retroperitoneum,15,Directed
G47.3,sarcoma-retroperitoneum,12,Directed
D64.9,C49.9,16,Directed
D64.9,K76.8,8,Directed
N39.0,D72.8,12,Directed
D72.8,sarcoma-retroperitoneum,13,Directed
E87.6,sarcoma-retroperitoneum,22,Directed
D50.0,sarcoma-retroperitoneum,13,Directed
L29.9,sarcoma-retroperitoneum,9,Directed
F41.9,sarcoma-retroperitoneum,19,Directed
M54.4,sarcoma-retroperitoneum,9,Directed
E11.9,sarcoma-retroperitoneum,23,Directed
M25.5,F33.1,8,Directed
M19.9,sarcoma-retroperitoneum,12,Directed
M79.6,M79.8,9,Directed
M25.5,C78.0,10,Directed
G47.0,sarcoma-retroperitoneum,9,Directed
I10,C78.0,15,Directed
L30.9,sarcoma-retroperitoneum,8,Directed
M81.0,sarcoma-retroperitoneum,10,Directed
E86.0,C78.0,9,Directed
N39.0,E86.0,10,Directed
C79.5,E86.0,10,Directed
N30.0,C49.9,8,Directed
E78.2,sarcoma-retroperitoneum,19,Directed
E78.2,C49.9,8,Directed
M62.8,sarcoma-retroperitoneum,8,Directed
M79.6,sarcoma-retroperitoneum,23,Directed
M25.5,C49.9,12,Directed
D49.2,sarcoma-retroperitoneum,8,Directed
D70.1,D64.8,10,Directed
M25.5,D64.8,9,Directed
N40.1,sarcoma-retroperitoneum,12,Directed
E83.4,E86.0,15,Directed
E55.9,sarcoma-retroperitoneum,10,Directed
G89.2,C49.9,13,Directed
I48.9,sarcoma-retroperitoneum,8,Directed
G89.2,G89.3,13,Directed
E03.9,sarcoma-retroperitoneum,19,Directed
D64.8,sarcoma-retroperitoneum,13,Directed
I10,sarcoma-retroperitoneum,69,Directed
I26.9,sarcoma-retroperitoneum,10,Directed
E86.0,I95.9,12,Directed
G89.3,C78.0,10,Directed
N39.0,E87.1,8,Directed
C79.5,G89.3,9,Directed
D64.9,E83.4,15,Directed
D64.9,D50.9,22,Directed
D64.9,C79.8,9,Directed
C49.2,sarcoma-retroperitoneum,14,Directed
E87.6,G89.3,8,Directed
D64.9,sarcoma-retroperitoneum,42,Directed
G89.3,E86.0,28,Undirected
E86.0,D70.1,23,Undirected
sarcoma-retroperitoneum,C49.9,101,Undirected
sarcoma-retroperitoneum,D48.1,24,Undirected
E87.6,E83.4,19,Undirected
